Size,Weight,Sweetness,Softness,HarvestTime,Ripeness,Acidity,Peel Thickness,Banana Density,Quality
-1.8257343,-0.88375366,-2.4235299,-1.1981364,-4.286523,1.5857918,-0.58900195,0.16443357840528772,65822.75842598896,0
-0.14228621,-0.7083744,-2.2242186,2.22265,1.8968141,-4.284821,1.0693867,0.7049454926045156,99930.32916215068,0
-1.9572538,-4.293733,-1.0737035,-1.4050193,-0.7298124,3.930497,-0.39783975,0.8528104458042162,37081.567981749264,0
-2.1680427,3.095472,1.7077173,-0.5842184,-0.5647666,0.014740354,-0.10379853,0.5829085538016177,63931.43555148131,1
-3.1493375,3.058402,2.1736705,-0.26560926,-2.5632205,0.37601468,1.4342515,0.10216182513648109,48711.4488192568,1
1.2494876,-1.3754982,-0.2743585,-5.8868923,0.5259196,-0.0036954833,1.9379486,0.3710891311190201,34435.87497189052,0
0.5340441,-0.25651416,2.2316096,-3.0030336,-0.74108714,2.5068374,1.4038364,0.7935664319940886,3884.5961023567706,1
3.552,-0.32105833,-1.6712242,2.4324718,-0.014135427,1.2305801,-1.7384807,0.14453728166762392,59428.82211727903,1
-1.5635833,2.805105,1.2058406,-0.47252455,-0.4394506,1.3361294,1.3473545,0.38078472741476854,49530.73723993062,1
-0.0041583884,-1.7457213,-4.499065,1.0119934,-3.66032,0.06786201,1.9273862,0.6739605955449186,54125.119616806776,0
-3.3589234,-0.30680934,-1.6843665,-1.3051805,-2.9573064,0.7374255,-1.3224065,0.41379579877881445,93835.79665284416,0
-4.6256504,0.08790352,-1.3744285,-1.6782086,-4.46997,0.086613156,-1.2001823,0.7561344758641323,96042.35224342791,0
-2.8666778,-0.61394566,-0.38277534,1.5811875,-3.713549,-0.06420816,-2.3096871,0.5094541216245427,74053.8227453122,0
-2.2649415,2.2208173,1.4846188,0.38916296,-0.7567373,0.5277777,-0.1903804,0.6540497797559202,44544.285930348684,1
0.89791447,-1.5217988,-1.4639598,1.275887,0.9149716,2.2093136,-2.1636484,0.006532335206688167,13694.638318333376,1
-0.334309,0.6798761,-1.6820785,-2.3019125,-2.804427,2.3567374,1.2241313,0.6524544445352142,2180.8352632758333,1
-2.495543,1.3978664,4.166338,-0.8978732,-1.5433289,0.043189336,1.7268423,0.6467208569929932,92002.89423479106,1
1.1674423,-2.7775078,0.8010041,2.3477328,1.2853824,3.5628853,-4.2021456,0.5339702914039423,73596.07506324544,1
-2.5983212,-3.8503363,-3.8572733,1.753419,-0.6213798,-1.1083801,1.0443054,0.5508526646372063,5943.298755925179,0
-2.890978,-5.068528,-3.0711029,-0.802442,-0.7843719,3.5969121,-1.3063091,0.45155553292271655,99144.00002065732,0
-0.44859725,-0.96485656,-0.5913068,-5.2575865,0.11481852,-1.4620873,-0.1825035,0.224037320912562,49604.4868093898,0
2.2336917,-1.8553851,-4.0752416,1.3045609,0.28245208,-5.1222706,1.2218592,0.7738718695073169,99079.93192326275,0
2.2980902,-0.28721347,-1.6708857,-1.3643821,-0.4398463,3.10404,-0.5336269,0.4461845138911963,22454.36176670905,0
-1.1349214,-2.0311074,-3.5932581,-3.3756194,-1.2652307,2.5235713,0.63938195,0.8942041144332008,69189.04945405206,0
-2.1875875,-2.400189,-1.7151701,-1.7615837,-0.84948033,1.161425,-1.0038265,0.7352122251477005,94071.47519589108,0
2.2112353,-0.30366004,-4.028019,-2.953721,1.408092,-1.6769073,0.29983163,0.31289495376129206,74310.49346730667,1
0.3470788,-1.8111705,-3.7140884,-0.24162818,-1.3320112,-2.498505,3.9981463,0.5785221679214795,94959.82615503088,0
-2.3574433,0.61005425,0.9652548,-2.932289,-1.6093969,0.44775152,-2.1468995,0.9750714369055753,55846.29227840771,1
-1.4250319,0.028983468,0.5703459,-1.6612197,-1.5574671,1.4213312,0.9387749,0.9586117160228517,13701.972295258161,1
-3.1980245,-1.5393795,1.9636294,-6.570272,-1.1973766,5.622646,2.6260974,0.7541111036702834,56626.73871410453,1
-1.7099863,-2.9692762,-1.7865388,1.4688671,-2.334769,0.18272606,0.593113,0.9903076607935525,13037.510154222806,0
-0.14056344,-4.061099,-1.9975743,1.0467991,-0.21095233,4.6665936,-2.7133615,0.6306389904541606,70762.25310965512,0
-2.6987908,-3.8784006,-1.1760527,3.6893742,0.13528813,5.519138,-5.199521,0.5203393624153779,900.8872272205792,0
1.1471088,-1.109544,-1.9704957,2.5022097,0.64037967,1.3375413,-1.4849559,0.6739168194191214,83053.64246804437,1
-4.8197417,0.0005910767,-1.8606715,-5.6447473,-3.9047296,4.8813753,-1.0211824,0.039253254169041574,44710.9943016633,1
1.5489074,-2.0352857,-2.4163947,0.59821624,2.7754264,0.36983767,-0.11236653,0.18835084685969583,32326.02330186568,1
0.36815044,-0.8644623,-2.4245317,-2.2013512,-0.62177896,1.5462221,-1.0277132,0.9428173392447626,83721.26426959613,0
4.0988894,-1.6798649,-2.4687862,1.8901387,1.8761992,0.9867228,0.62315774,0.6870622133714299,34750.46262464227,1
0.37156168,0.20833224,-1.3632807,1.4762727,1.4891317,-2.5048628,1.6068945,0.8263355254087063,47076.465556144976,0
-2.9290545,-2.0704129,-1.3805082,-0.24319759,-1.0336645,2.3348086,-2.4592495,0.9757788394643703,88895.70253663295,0
-1.551307,-0.7753187,-1.5035828,-1.5416125,-2.2490196,1.4317591,-0.60227686,0.8987579801568615,56723.38882572335,0
0.15772933,-2.434079,0.5604873,-1.857855,-1.2554566,1.2391119,-0.015279891,0.2837515513583764,45448.801374109375,0
-1.082277,0.01601937,0.6362737,-3.1133828,-1.2030498,2.4362931,0.56417394,0.6716434721812921,7396.812750474592,1
0.60465074,3.1072776,4.0242324,0.3505825,-0.2822852,1.2690217,5.902278,0.8568929099049426,26267.42915464872,1
-2.0234923,-1.8348312,-0.5092426,2.0222247,-3.327453,-0.5868066,0.10675604,0.9754660770228007,23803.621622255418,0
0.8040902,0.7910649,-2.2792082,2.9518697,1.7047404,0.6938615,0.13259551,0.1197333043790828,17212.376902184653,1
-2.4691868,-2.6688125,-2.6124818,-1.8983214,-1.2507015,1.6563711,-1.1131423,0.057541007011844836,51464.95931883191,0
-0.28295854,1.3402065,1.4329735,-2.2736363,-0.8891573,3.1140854,3.068613,0.610366488435155,16281.936048431398,1
-1.9718235,-0.12029538,-0.73561406,-0.70243365,-3.103561,-0.5741891,-1.871449,0.9093678038751699,55731.41627709548,0
-2.3102202,-2.030188,-1.619295,-0.26555312,-3.222748,2.9573715,-1.0611378,0.9130281685741926,6477.733771037203,0
